,0,1,2,3,4,h,t,u,prediction,PI,S,SA,SP,VB,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,East,North,South,South-East,West,Metropolitan,Victoria,24
0,56,8508,1,1,2.0,1,0,0,1480000.0,0,1,0,0,0,393,2016.0,3.0,12.0,2.5,3067.0,2.0,1.0,1.0,0,202.0,0.0,1,0.0,647,0,-37.7996,144.9984,0,1,0,0,0,1,0,4019.0
1,56,8508,1,1,2.0,1,0,0,1035000.0,0,1,0,0,0,393,2016.0,4.0,2.0,2.5,3067.0,2.0,1.0,0.0,0,156.0,79.0,0,1900.0,647,0,-37.8079,144.9934,0,1,0,0,0,1,0,4019.0
2,56,8508,1,3,3.0,1,0,0,1465000.0,0,0,0,1,0,393,2017.0,4.0,3.0,2.5,3067.0,3.0,2.0,0.0,0,134.0,150.0,0,1900.0,647,0,-37.8093,144.9944,0,1,0,0,0,1,0,4019.0
3,56,8508,1,1,3.0,1,0,0,850000.0,1,0,0,0,0,393,2017.0,4.0,3.0,2.5,3067.0,3.0,2.0,1.0,0,94.0,0.0,1,0.0,647,0,-37.7969,144.9969,0,1,0,0,0,1,0,4019.0
4,56,8508,1,1,4.0,1,0,0,1600000.0,0,0,0,0,1,1565,2016.0,4.0,6.0,2.5,3067.0,3.0,1.0,2.0,0,120.0,142.0,0,2014.0,647,0,-37.8072,144.9941,0,1,0,0,0,1,0,4019.0
5,56,8508,1,1,2.0,1,0,0,941000.0,0,1,0,0,0,1316,2016.0,7.0,5.0,2.5,3067.0,2.0,1.0,0.0,0,181.0,0.0,1,0.0,647,0,-37.8041,144.9953,0,1,0,0,0,1,0,4019.0
6,56,8508,1,1,3.0,1,0,0,1876000.0,0,1,0,0,0,1565,2016.0,7.0,5.0,2.5,3067.0,4.0,2.0,0.0,0,245.0,210.0,0,1910.0,647,0,-37.8024,144.9993,0,1,0,0,0,1,0,4019.0
7,56,8508,1,1,2.0,1,0,0,1636000.0,0,1,0,0,0,1565,2016.0,8.0,10.0,2.5,3067.0,2.0,1.0,2.0,0,256.0,107.0,0,1890.0,647,0,-37.806,144.9954,0,1,0,0,0,1,0,4019.0
8,56,8508,1,1,1.0,0,0,1,300000.0,0,1,0,0,0,393,2016.0,8.0,10.0,2.5,3067.0,1.0,1.0,1.0,0,0.0,0.0,1,0.0,647,0,-37.8008,144.9973,0,1,0,0,0,1,0,4019.0
9,56,8508,1,1,2.0,1,0,0,1097000.0,0,1,0,0,0,393,2016.0,8.0,10.0,2.5,3067.0,3.0,1.0,2.0,0,220.0,75.0,0,1900.0,647,0,-37.801,144.9989,0,1,0,0,0,1,0,4019.0
10,56,8508,1,1,2.0,0,0,1,700000.0,0,0,0,0,1,1316,2016.0,12.0,11.0,2.5,3067.0,2.0,2.0,1.0,0,0.0,0.0,1,0.0,647,0,-37.811,145.0067,0,1,0,0,0,1,0,4019.0
11,56,8508,1,1,3.0,1,0,0,1350000.0,0,0,0,0,1,1565,2016.0,12.0,11.0,2.5,3067.0,3.0,2.0,2.0,0,214.0,190.0,0,2005.0,647,0,-37.8085,144.9964,0,1,0,0,0,1,0,4019.0
12,56,8508,1,1,2.0,0,0,1,750000.0,0,1,0,0,0,393,2016.0,12.0,11.0,2.5,3067.0,2.0,2.0,1.0,0,0.0,94.0,0,2009.0,647,0,-37.8078,144.9965,0,1,0,0,0,1,0,4019.0
13,56,8508,1,1,2.0,1,0,0,1172500.0,0,1,0,0,0,393,2016.0,8.0,13.0,2.5,3067.0,2.0,1.0,1.0,0,195.0,0.0,1,0.0,647,0,-37.8084,144.9973,0,1,0,0,0,1,0,4019.0
14,56,8508,1,1,1.0,0,0,1,441000.0,0,0,0,1,0,239,2016.0,5.0,14.0,2.5,3067.0,1.0,1.0,1.0,0,0.0,0.0,1,0.0,647,0,-37.8016,144.9988,0,1,0,0,0,1,0,4019.0
15,56,8508,1,1,2.0,1,0,0,1310000.0,0,1,0,0,0,1316,2016.0,10.0,15.0,2.5,3067.0,2.0,1.0,2.0,0,238.0,97.0,0,1890.0,647,0,-37.809,144.9976,0,1,0,0,0,1,0,4019.0
16,56,8508,1,1,3.0,1,0,0,1200000.0,0,1,0,0,0,1316,2016.0,7.0,16.0,2.5,3067.0,3.0,2.0,1.0,0,113.0,110.0,0,1880.0,647,0,-37.8056,144.993,0,1,0,0,0,1,0,4019.0
17,56,8508,1,1,3.0,1,0,0,1176500.0,0,1,0,0,0,35,2016.0,7.0,16.0,2.5,3067.0,2.0,1.0,1.0,0,138.0,105.0,0,1890.0,647,0,-37.8021,144.9965,0,1,0,0,0,1,0,4019.0
18,56,8508,1,1,3.0,1,0,0,955000.0,0,1,0,0,0,56,2016.0,9.0,17.0,2.5,3067.0,3.0,1.0,0.0,0,183.0,0.0,1,0.0,647,0,-37.8022,144.9975,0,1,0,0,0,1,0,4019.0
19,56,8508,1,1,2.0,1,0,0,890000.0,0,1,0,0,0,393,2016.0,9.0,17.0,2.5,3067.0,2.0,1.0,1.0,0,150.0,73.0,0,1985.0,647,0,-37.8011,145.0004,0,1,0,0,0,1,0,4019.0
20,56,8508,1,1,4.0,1,0,0,1330000.0,1,0,0,0,0,119,2017.0,3.0,18.0,2.5,3067.0,4.0,2.0,2.0,0,780.0,135.0,0,1900.0,647,0,-37.8073,144.9952,0,1,0,0,0,1,0,4019.0
21,56,8508,1,1,3.0,0,1,0,900000.0,0,1,0,0,0,19,2017.0,3.0,18.0,2.5,3067.0,3.0,2.0,2.0,0,0.0,0.0,1,2010.0,647,0,-37.8093,144.9959,0,1,0,0,0,1,0,4019.0
22,56,8508,1,1,3.0,0,0,1,1090000.0,0,1,0,0,0,1316,2017.0,3.0,18.0,2.5,3067.0,3.0,2.0,2.0,0,4290.0,27.0,0,0.0,647,0,-37.8078,144.9965,0,1,0,0,0,1,0,4019.0
23,56,8508,1,1,2.0,0,0,1,500000.0,0,1,0,0,0,56,2016.0,6.0,18.0,2.5,3067.0,2.0,1.0,1.0,0,0.0,60.0,0,1970.0,647,0,-37.8015,144.9972,0,1,0,0,0,1,0,4019.0
24,56,8508,1,1,2.0,1,0,0,1100000.0,1,0,0,0,0,393,2016.0,6.0,18.0,2.5,3067.0,2.0,2.0,1.0,0,124.0,135.0,0,2013.0,647,0,-37.8079,144.9977,0,1,0,0,0,1,0,4019.0
25,56,8508,1,1,2.0,1,0,0,1315000.0,0,1,0,0,0,659,2016.0,11.0,19.0,2.5,3067.0,2.0,1.0,0.0,0,147.0,85.0,0,1900.0,647,0,-37.808,144.994,0,1,0,0,0,1,0,4019.0
26,56,8508,1,1,1.0,0,0,1,426000.0,0,0,0,1,0,239,2016.0,8.0,22.0,2.5,3067.0,1.0,1.0,1.0,0,0.0,0.0,1,0.0,647,0,-37.8016,144.9988,0,1,0,0,0,1,0,4019.0
27,56,8508,1,1,3.0,1,0,0,1447500.0,1,0,0,0,0,1565,2016.0,8.0,22.0,2.5,3067.0,3.0,3.0,1.0,0,166.0,174.0,0,2012.0,647,0,-37.8017,145.0001,0,1,0,0,0,1,0,4019.0
28,56,8508,1,1,1.0,0,0,1,457000.0,0,1,0,0,0,1316,2016.0,8.0,22.0,2.5,3067.0,1.0,1.0,1.0,0,0.0,50.0,0,0.0,647,0,-37.8078,144.9965,0,1,0,0,0,1,0,4019.0
29,56,8508,1,1,2.0,1,0,0,1135000.0,0,1,0,0,0,1565,2016.0,8.0,22.0,2.5,3067.0,2.0,2.0,2.0,0,98.0,128.0,0,1920.0,647,0,-37.8005,144.9952,0,1,0,0,0,1,0,4019.0
30,56,8508,1,1,4.0,1,0,0,1542000.0,0,1,0,0,0,56,2016.0,9.0,24.0,2.5,3067.0,4.0,3.0,1.0,0,0.0,0.0,1,0.0,647,0,-37.7994,144.9965,0,1,0,0,0,1,0,4019.0
31,56,8508,1,1,3.0,1,0,0,1290000.0,0,1,0,0,0,393,2017.0,2.0,25.0,2.5,3067.0,3.0,2.0,2.0,0,147.0,18.0,0,0.0,647,0,-37.805,144.9943,0,1,0,0,0,1,0,4019.0
32,56,8508,1,1,3.0,1,0,0,1290000.0,0,1,0,0,0,393,2017.0,2.0,25.0,2.5,3067.0,3.0,1.0,1.0,0,168.0,124.0,0,1950.0,647,0,-37.8007,144.9958,0,1,0,0,0,1,0,4019.0
33,56,8508,1,1,1.0,0,0,1,470000.0,0,1,0,0,0,1565,2016.0,7.0,26.0,2.5,3067.0,1.0,1.0,1.0,0,0.0,50.0,0,2013.0,647,0,-37.8055,144.9961,0,1,0,0,0,1,0,4019.0
34,56,8508,1,1,2.0,1,0,0,1180000.0,0,1,0,0,0,1316,2016.0,11.0,27.0,2.5,3067.0,2.0,1.0,0.0,0,162.0,91.0,0,1900.0,647,0,-37.8016,144.9956,0,1,0,0,0,1,0,4019.0
35,56,8508,1,1,3.0,1,0,0,1195000.0,0,0,0,1,0,1316,2016.0,11.0,27.0,2.5,3067.0,3.0,2.0,1.0,0,120.0,128.0,0,1998.0,647,0,-37.8022,144.9954,0,1,0,0,0,1,0,4019.0
36,56,8508,1,1,2.0,1,0,0,1012500.0,0,1,0,0,0,1565,2016.0,5.0,28.0,2.5,3067.0,2.0,1.0,0.0,0,182.0,82.0,0,1900.0,647,0,-37.8021,144.9976,0,1,0,0,0,1,0,4019.0
37,56,8508,1,1,2.0,1,0,0,1030000.0,0,1,0,0,0,393,2016.0,7.0,30.0,2.5,3067.0,2.0,1.0,1.0,0,172.0,81.0,0,1930.0,647,0,-37.8086,144.9946,0,1,0,0,0,1,0,4019.0
38,67,373,0,1,3.0,0,1,0,840000.0,1,0,0,0,0,1565,2016.0,3.0,9.0,13.5,3042.0,3.0,2.0,1.0,0,303.0,225.0,0,2016.0,997,0,-37.718,144.878,0,0,0,0,1,1,0,3464.0
39,67,373,0,2,3.0,1,0,0,730000.0,0,0,0,0,1,1565,2016.0,3.0,12.0,13.5,3042.0,3.0,2.0,1.0,0,0.0,145.0,0,1965.0,997,0,-37.7203,144.8755,0,0,0,0,1,1,0,3464.0
40,67,373,0,2,3.0,1,0,0,770000.0,0,0,0,1,0,1565,2017.0,4.0,3.0,13.5,3042.0,3.0,2.0,1.0,0,0.0,145.0,0,1965.0,997,0,-37.7203,144.8755,0,0,0,0,1,1,0,3464.0
41,67,373,0,1,2.0,1,0,0,603000.0,0,1,0,0,0,1565,2017.0,4.0,3.0,13.5,3042.0,2.0,1.0,1.0,0,272.0,84.0,0,1950.0,997,0,-37.7294,144.888,0,0,0,0,1,1,0,3464.0
42,67,373,0,1,3.0,0,1,0,700000.0,0,1,0,0,0,342,2017.0,4.0,3.0,13.5,3042.0,3.0,2.0,2.0,0,239.0,134.0,0,2009.0,997,0,-37.7218,144.8837,0,0,0,0,1,1,0,3464.0
43,67,373,0,1,3.0,1,0,0,600000.0,0,1,0,0,0,3,2017.0,4.0,3.0,13.5,3042.0,2.0,1.0,1.0,0,290.0,116.0,0,1980.0,997,0,-37.7273,144.8744,0,0,0,0,1,1,0,3464.0
44,67,373,0,1,2.0,0,0,1,500000.0,0,0,0,0,1,1011,2017.0,4.0,3.0,13.5,3042.0,2.0,1.0,1.0,0,168.0,86.0,0,2011.0,997,0,-37.7215,144.8864,0,0,0,0,1,1,0,3464.0
45,67,373,0,1,3.0,1,0,0,720000.0,0,1,0,0,0,1011,2016.0,6.0,8.0,13.5,3042.0,2.0,1.0,1.0,0,620.0,0.0,1,0.0,997,0,-37.7173,144.8872,0,0,0,0,1,1,0,3464.0
46,67,373,0,1,4.0,1,0,0,785000.0,0,1,0,0,0,28,2016.0,6.0,8.0,13.5,3042.0,3.0,1.0,2.0,0,597.0,127.0,0,0.0,997,0,-37.7259,144.8792,0,0,0,0,1,1,0,3464.0
47,67,373,0,1,6.0,1,0,0,725000.0,0,0,0,1,0,1011,2016.0,7.0,5.0,13.5,3042.0,6.0,3.0,2.0,0,976.0,186.0,0,1980.0,997,0,-37.7239,144.8735,0,0,0,0,1,1,0,3464.0
48,67,373,0,1,2.0,0,1,0,450000.0,0,1,0,0,0,1011,2016.0,7.0,5.0,13.5,3042.0,2.0,1.0,1.0,0,110.0,90.0,0,2015.0,997,0,-37.7216,144.871,0,0,0,0,1,1,0,3464.0
49,67,373,0,1,2.0,0,0,1,515000.0,0,1,0,0,0,1011,2016.0,7.0,11.0,13.5,3042.0,2.0,1.0,1.0,0,141.0,73.0,0,2013.0,997,0,-37.7298,144.8883,0,0,0,0,1,1,0,3464.0
50,67,373,0,1,2.0,0,0,1,530000.0,0,1,0,0,0,1565,2016.0,10.0,9.0,13.5,3042.0,2.0,1.0,1.0,0,120.0,94.0,0,2012.0,997,0,-37.7234,144.8792,0,0,0,0,1,1,0,3464.0
51,67,373,0,1,3.0,1,0,0,895000.0,1,0,0,0,0,66,2016.0,10.0,9.0,13.5,3042.0,3.0,1.0,6.0,0,1063.0,133.0,0,1975.0,997,0,-37.7249,144.8728,0,0,0,0,1,1,0,3464.0
52,67,373,0,1,3.0,1,0,0,805000.0,0,1,0,0,0,1565,2016.0,10.0,12.0,13.5,3042.0,3.0,1.0,1.0,0,0.0,105.0,0,1950.0,997,0,-37.7217,144.8783,0,0,0,0,1,1,0,3464.0
53,67,373,0,1,3.0,0,0,1,752000.0,0,1,0,0,0,1565,2017.0,11.0,2.0,13.5,3042.0,3.0,1.0,1.0,0,265.0,130.0,0,1993.0,997,0,-37.7302,144.8855,0,0,0,0,1,1,0,3464.0
54,67,373,0,1,2.0,0,0,1,440000.0,0,1,0,0,0,1011,2016.0,8.0,13.0,13.5,3042.0,2.0,1.0,1.0,0,192.0,0.0,1,0.0,997,0,-37.7177,144.8787,0,0,0,0,1,1,0,3464.0
55,67,373,0,1,5.0,1,0,0,755000.0,1,0,0,0,0,1,2016.0,5.0,14.0,13.5,3042.0,3.0,2.0,2.0,0,596.0,0.0,1,0.0,997,0,-37.7248,144.8699,0,0,0,0,1,1,0,3464.0
56,67,373,0,1,3.0,0,1,0,700000.0,1,0,0,0,0,342,2016.0,10.0,15.0,13.5,3042.0,3.0,2.0,2.0,0,165.0,133.0,0,2009.0,997,0,-37.727,144.887,0,0,0,0,1,1,0,3464.0
57,67,373,0,1,3.0,1,0,0,830000.0,0,1,0,0,0,1011,2016.0,4.0,16.0,13.5,3042.0,3.0,1.0,2.0,0,971.0,113.0,0,1960.0,997,0,-37.7186,144.876,0,0,0,0,1,1,0,3464.0
